Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
102	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
103	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
104	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
105	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
106	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
107	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
108	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
109	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
110	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131094	4.000000	0.000004
111	0.577409	2.868004e+04	378.03	1134.06	8.738110e-02	654.70	0.209081	0.786645	0.004245	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000011	0.000009	0.000000	0.000000	132.131092	4.000000	0.000004
112	0.577416	2.867984e+04	378.04	1134.07	8.737969e-02	654.70	0.209079	0.786645	0.004245	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000	0.000012	0.000010	0.000000	0.000000	132.131092	4.000000	0.000004
113	0.577423	2.867963e+04	378.04	1134.09	8.737823e-02	654.71	0.209076	0.786645	0.004245	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000	0.000012	0.000012	0.000000	0.000000	132.131092	4.000000	0.000004
114	0.577431	2.867941e+04	378.05	1134.10	8.737673e-02	654.71	0.209074	0.786645	0.004245	0.000000	0.000000	0.000000	0.000011	0.000000	0.000000	0.000012	0.000013	0.000000	0.000000	132.131092	4.000000	0.000004
115	0.577439	2.867919e+04	378.06	1134.11	8.737519e-02	654.71	0.209071	0.786645	0.004244	0.000000	0.000000	0.000000	0.000012	0.000000	0.000000	0.000013	0.000015	0.000000	0.000000	132.131092	4.000000	0.000005
