Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
32	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
33	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
34	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
35	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
36	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
37	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
38	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
39	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
40	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
41	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
42	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
43	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
44	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
45	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
46	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
47	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
48	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
49	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
50	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
51	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
52	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
53	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
54	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
55	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
56	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359589	4.000000	0.000000
57	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
58	2.000001	5.949378e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
59	2.000001	5.949377e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
60	2.000001	5.949378e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
61	2.000001	5.949379e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
62	2.000000	5.949380e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
